都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
ｵﾎｰﾂｸ,17196,四,滝上,ﾀｷﾉｳｴ,紋別郡滝上町滝ノ上原野5線南,44,10.6,143,3.7,165,10,2.5,#昭52.10.27,17905,－,143.0616667,44.17666667,,1844,2901,,368,580
ｵﾎｰﾂｸ,17211,雨,上藻別,ｶﾐﾓﾍﾞﾂ,紋別市上藻別,44,11.2,143,20.1,94,－,－,#,－,－,143.335,44.18666667,,1866,2902,,373,580
ｵﾎｰﾂｸ,17246,四,常呂,ﾄｺﾛ,北見市常呂町岐阜,44,6.9,144,2.2,3,10,2.5,#昭52.10.21,－,－,144.0366667,44.115,,1922,2893,,384,578
ｵﾎｰﾂｸ,17306,四,遠軽,ｴﾝｶﾞﾙ,紋別郡遠軽町東町,44,3.2,143,32.4,80,6.4,2.5,#昭52.10.24,17910,－,143.54,44.05333333,,1883,2886,,376,577
ｵﾎｰﾂｸ,17316,四,佐呂間,ｻﾛﾏ,常呂郡佐呂間町西富,44,1.1,143,45.6,54,10,2.5,#昭52.10.21,17915,－,143.76,44.01833333,,1900,2882,,380,576
ｵﾎｰﾂｸ,17341,官,網走,ｱﾊﾞｼﾘ,網走市台町　網走地方気象台,44,1,144,16.7,38,15.6,－,#昭50.4.1,17917,－,144.2783333,44.01666667,,1942,2882,,388,576
ｵﾎｰﾂｸ,17351,四,宇登呂,ｳﾄﾛ,斜里郡斜里町ウトロ高原,44,3.1,144,58.9,144,10,2.5,(昭50.5.12)昭53.10.26,17935,－,144.9816667,44.05166667,,1998,2886,,399,577
ｵﾎｰﾂｸ,17386,雨,丸瀬布,ﾏﾙｾｯﾌﾟ,紋別郡遠軽町丸瀬布武利,43,57.1,143,19.7,242,－,－,昭59.10.5,－,－,143.3283333,43.95166667,,1866,2874,,373,574
ｵﾎｰﾂｸ,17482,四,白滝,ｼﾗﾀｷ,紋別郡遠軽町白滝北支湧別,43,51.9,143,9.2,475,10,2.5,(昭50.9.25)平5.1.27,17955,－,143.1533333,43.865,,1852,2863,,370,572
ｵﾎｰﾂｸ,17501,四,生田原,ｲｸﾀﾊﾗ,紋別郡遠軽町生田原,43,55,143,31.9,199,10,2.5,#昭52.10.25,－,－,143.5316667,43.91666667,,1882,2870,,376,574
ｵﾎｰﾂｸ,17512,雨,仁頃山,ﾆｺﾛﾔﾏ,北見市富里,43,51.6,143,44.8,261,－,－,平17.11.2,－,－,143.7466667,43.86,,1899,2863,,379,572
ｵﾎｰﾂｸ,17521,四,北見,ｷﾀﾐ,北見市広郷,43,46.6,143,50.5,104,10,2.5,#昭51.4.1,17925,－,143.8416667,43.77666667,,1907,2853,,381,570
